resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
La Grave,,FR,Hautes-Alpes,La Grave–La Meije,Glacier + non-glacier,2026-12-19,estimated_from_2025_26,3550,3,66.0,66.0,EUR,estimated_from_2025_26,286,3.86,,5.0,4.5,"Legendary lift-served freeride (Vallons de la Meije, Chancel, Trifides) with a guide-dominated culture and the Derby de la Meije; La Meije/Ecrins and Col du Lautaret provide dense high-alpine touring classics.",https://la-grave.com/en/webcams/,"Cable car 20 Dec 2025-3 May 2026, full day pass 66 EUR official 2025/26 (skiresort still lists 62); Girose glacier drag lifts to Dome de la Lauze 3550 m run only when snow/weather allow (typically from Feb), otherwise top is Ruillans 3200 m; no marked pistes off the glacier (19 km of itineraries); Col du Lautaret (D1091) normally open in winter with storm closures; from Italy via Montgenevre-Briancon-Lautaret.",https://la-grave.com/en/hiver-tarifs-horaires/ | https://la-grave.com/en/le-domaine-de-haute-montagne-hiver/ | https://www.envie-de-brianconnais.com/event/ouverture-telepherique-la-grave-hiver-2025-2026 | https://www.hautesvallees.com/la-grave/en/equipement/glacier-lifts-of-la-meije-la-grave/ | https://mesinfos.fr/provence-alpes-cote-d-azur/ouverture-des-stations-de-ski-la-saison-20252026-dans-les-hautes-alpes-233012.html | https://www.skiresort.com/en/ski-resort/la-grave-la-meije/,medium
La Norma,,FR,Savoie,La Norma,Non-glacier,2026-12-19,confirmed_2026_27,2750,65,43.6,43.6,EUR,published_2026_27,252,3.07,,2.5,3.0,Car-free family resort whose off-piste is limited to tree runs between pistes below the 2750 m summit; Vanoise touring is nearby but the resort itself is not a touring base.,https://www.la-norma.ski/webcams/,Car-free resort at 1350 m with a free underground car park at the entrance (5 km above Villarodin-Bourget); 2025/26 adult day 43.00; Saturday web promo 31 EUR; 2026/27 keycard 2 EUR extra.,https://www.la-norma.ski/tarifs-forfaits-de-ski/ | https://www.la-norma.ski/infos-utiles-hiver/ | https://www.la-norma.fr/en/ski-et-glisse/le-domaine-skiable/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/la-norma/,high
Le Sauze–Super Sauze,,FR,Alpes-de-Haute-Provence,Le Sauze,Non-glacier,2026-12-19,confirmed_2026_27,2400,65,39.0,39.0,EUR,published_2026_27,321,4.34,,3.0,3.0,"Small Ubaye resort, mostly on-piste with some steep local off-piste and no events; limited touring on the Chapeau de Gendarme / Grande Seolane sides.",https://www.sauze.com/webcams/,"13-14 Dec 2025 weekend opening reported only by skiinfo, continuous opening 20 Dec 2025 per press (use 20 Dec if in doubt); 2026/27 single day price 39 EUR (season 19 Dec 2026-29 Mar 2027); base = Le Sauze 1400 (Super Sauze 1700 is the upper village); from Italy via Col de Larche to Barcelonnette (4 km).",https://www.sauze.com/decouvrez/domaine-skiable/ | https://www.sauze.com/en/ski/ski-passes/full-day-ski-passes/ | https://www.ubaye.com/ski/forfaits-de-ski/ | https://www.skiinfo.fr/alpes-du-sud/sauze-supersauze/forfaits-de-ski | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiresort.com/en/ski-resort/super-sauze/,medium
Les Karellis,,FR,Savoie,Les Karellis,Non-glacier,2026-12-19,confirmed_2026_27,2520,60,36.0,36.0,EUR,published_2026_27,281,3.44,,3.0,3.0,"North-north-east facing area that promotes secured off-piste inside the domain (Fontagnoux, Chaudannes) and holds snow well, but small and little known; touring possible above 2000 m yet with little variety.",https://www.karellis.com/en/webcams/,"Car-free resort at 1600 m above Montricher-Albanne, park at the resort entrance; 2025/26 adult day 35.00; official top 2520 m (skiresort 2482 m); official km given as 60 km groomed (one English page says 65 km); cheapest day pass in the batch.",https://www.leskarellis.com/fr/tarifs-2026-2027-sans-lien | https://www.karellis.com/domaine-skiable/ | https://www.karellis.com/en/activites-hiver/the-downhill-ski-area/ | https://www.odesia-vacances.com/programme-50ans-karellis/ | https://www.skiresort.com/en/ski-resort/les-karellis/,high
Morillon,,FR,Haute-Savoie,Le Grand Massif,Non-glacier,2026-12-19,estimated_from_2025_26,2500,265,63.0,63.0,EUR,published_2026_27,293,3.81,,2.5,2.5,"Gentle family sector (Morillon 1100, Coulouvrier 2120 m); little off-piste or touring of note.",https://www.grand-massif.com/en/webcams/,"Base = Morillon village gondola (700 m) to Morillon 1100. Sector top 2120 m (Coulouvrier chair); 2500 m is the Grand Massif top in Flaine. 2025/26 planned 20 Dec 2025-6 Apr 2026, actual not separately verified. 2026/27 alti-mag provisional 19 Dec 2026 (Les Carroz official 12 Dec). Villages pass 58.50 EUR. Official morillon.fr redirects to haut-giffre.fr (certificate error), so the Grand Massif multi-cam page is used for the webcam. Aggregator/press lists a provisional 2026/27 opening of 2026-12-19, not confirmed by the operator; date shown is the 2025/26 opening shifted.",https://www.haut-giffre.fr/je-decouvre/les-domaines-skiables/ | https://www.flaine.com/en/flaine-ski-resort-opening-2025-early-season-deals/ | https://www.grand-massif.com/en/ski-offers/package-rates/ | https://www.alti-mag.com/dates-douverture-stations-ski | https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,medium
Morzine,,FR,Haute-Savoie,Portes du Soleil,Non-glacier,2026-12-19,confirmed_2026_27,2019,120,50.0,56.0,EUR,published_2026_27,306,4.07,,3.0,2.5,"Nyon/Chamossière offer some steep off-piste; touring modest (Roc d'Enfer, Pointe de Nantaux nearby).",https://www.morzine-avoriaz.com/sejourner/pratique/webcams/,"Base = Pléney cable car in the village. From Italy via Grand-Saint-Bernard/Martigny-Monthey-Pas de Morgins or Geneva-Thonon; Col de Joux Plane closed in winter. 2025/26: official 20 Dec 2025-6 Apr 2026 with pre-opening 13-19 Dec possible (bergfex season from 13 Dec); Avoriaz reachable from 12 Dec via Prodains. 2026/27: Pléney desks from 21 Nov, Nyon from 19 Dec 2026; Les Gets lift-co lists partial 12 Dec/general 19 Dec 2026 - Morzine partial date not published. Prices web 50/desk 56 EUR until 19 Mar 2027 (Saturdays 40); Portes du Soleil 69 web/73 desk (+3 EUR card). Top 2019 m (Pointe de Nyon) per bergfex; skiinfo 2000 m.",https://www.ski-morzine.com/en/winter/prices/prices-morzine-les-gets-winter/ | https://www.ski-morzine.com/en/winter/prices/prices-portes-du-soleil-winter/ | https://www.ski-morzine.com/en/opening-cash-desk/ | https://www.morzine-avoriaz.com/dates-douverture-du-domaine-skiable-2025-2026-a-morzine-avoriaz/ | https://pass.lesgets.com/en/ski-area/ | https://www.bergfex.com/morzine/ | https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/,medium
Notre-Dame-de-Bellecombe,,FR,Savoie,Espace Diamant,Non-glacier,2026-12-19,confirmed_2026_27,2069,90,43.5,45.0,EUR,published_2026_27,283,3.79,,2.5,2.5,Low-altitude family village area; negligible freeride or touring reputation.,https://notredamebellecombe.labellemontagne.com/fr/hiver/infos-station/webcams/,"Labellemontagne operator; 2026/27 Val d'Arly adult day 45 EUR window / 43.50 EUR web, Espace Diamant 52 EUR, Saturday 25 EUR; 2069 m is the Espace Diamant/Val d'Arly high point per Labellemontagne; skiinfo lists 26 Dec 2026 opening - official 19 Dec used; season ends late March",https://notredamebellecombe.labellemontagne.com/fr/hiver/ski-snowboard/domaine-skiable/ | https://notredamebellecombe.labellemontagne.com/fr/hiver/forfaits/ | https://notredamebellecombe.labellemontagne.com/fr/hiver/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.lessaisies.org/meteo-neige-pistes/ouverture-des-pistes-espace-diamant | https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/ | https://notredamebellecombe.labellemontagne.com/fr/hiver/infos-station/webcams/,medium
Praz de Lys–Sommand,,FR,Haute-Savoie,Praz de Lys–Sommand,Non-glacier,2026-12-19,confirmed_2026_27,2000,72,37.5,37.5,EUR,published_2026_27,303,4.05,,2.5,3.0,"Small family area with minor off-piste; popular touring on Haute Pointe, Pointe de Chalune and Roc d'Enfer from Sommand/Praz de Lys.",https://www.prazdelys-sommand.com/explorer/la-station/le-domaine-skiable/webcams/,"Base = Praz de Lys (Les Molliettes) car park reached from Taninges (D308); Sommand base reached from Mieussy. 2025/26 first weekend 13-14 Dec 2025 per skiinfo (bergfex lists 20 Dec) - not verified; closed 6 Apr 2026. 2026/27: 19 Dec 2026-4 Apr 2027; day pass 37.50 EUR (Saturdays 30 EUR; 2025/26 was 36). Top: OT/skiinfo/bergfex 2000 m, skiresort.com 1966 m. Access from Italy via Mont Blanc tunnel-Cluses-Taninges.",https://espacedeslys.com/fr/ | https://www.prazdelys-sommand.com/explorer/la-station/le-domaine-skiable/ | https://www.alti-mag.com/domaines-skiables/praz-de-lys-sommand-alpin | https://www.skiinfo.fr/alpes-du-nord/praz-de-lys-sommand/forfaits-de-ski | https://www.bergfex.com/praz-de-lys-sommand/ | https://www.skiresort.com/en/ski-resort/praz-de-lys-sommand-taninges-mieussy/,medium
Praz-sur-Arly,,FR,Haute-Savoie,Espace Diamant,Non-glacier,2026-12-19,confirmed_2026_27,2069,90,43.5,45.0,EUR,published_2026_27,276,3.67,,2.5,2.5,Small village area (Cret du Midi); no freeride or touring reputation.,https://prazsurarly.labellemontagne.com/fr/hiver/webcams/,"Haute-Savoie village of Espace Diamant, same operator/pass as NDB; 2026/27 Val d'Arly day 45 EUR window / 43.50 EUR web, Espace Diamant 52 EUR; 2025/26 opening 20 Dec 2025 from search summary (not directly verified on the official page); season ends 27-29 March",https://prazsurarly.labellemontagne.com/fr/hiver/domaine-skiable/ | https://prazsurarly.labellemontagne.com/fr/hiver/forfaits/ | https://prazsurarly.labellemontagne.com/fr/hiver/ | https://www.lessaisies.org/meteo-neige-pistes/ouverture-des-pistes-espace-diamant | https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/ | https://prazsurarly.labellemontagne.com/fr/hiver/webcams/,medium
Valfréjus,,FR,Savoie,Valfréjus,Non-glacier,2026-12-19,confirmed_2026_27,2737,70,43.6,43.6,EUR,published_2026_27,249,3.05,,3.5,3.0,"Locally reputed for steep larch-forest and Punta Bagna (2737 m) off-piste on north-facing slopes, but a small area without competition history; touring limited to Mont Thabor and Frejus valley routes.",https://www.valfrejus.ski/webcams/,Closest FR2 resort to the Frejus tunnel exit (about 10 km above Modane); 2025/26 adult day 43.00; free shuttle to La Norma every 45 min and the pass is shared between the two unlinked areas; Parcs & Loisirs lists 20 Dec 2026 but the operator site says Sat 19 Dec 2026.,https://www.valfrejus.ski/en/ski-passes-prices/ | https://www.valfrejus.com/en/ski-et-glisse/le-domaine-skiable/ | https://www.valfrejus.ski/webcams/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/valfrejus/,high
Val Senales,Schnalstal,IT,"Bolzano, Trentino-Alto Adige",Val Senales Glacier (Ortler Skiarena),Glacier,2026-09-19,confirmed_2026_27,3212,42,63.0,63.0,EUR,published_2026_27,336,4.08,,3.5,4.0,"Glacier off-piste from Grawand/Lazaun and Finail with steep north faces; Similaun, Fineilspitze and Weisskugel are classic Oetztal Alps tours from Maso Corto with strong hut tradition and Sept-May snow.",https://www.valsenales.com/it/webcam-val-senales,"Glacier skiing Sept-May (autumn mostly race training); 2026/27 price list published: 1-day adult EUR 68 Season A (19 Sep-6 Nov 2026), 50 Season B, 57 Season C (9-29 Jan, 27 Feb-19 Mar 2027), 63 Season D (26 Dec-8 Jan, 30 Jan-26 Feb, 20 Mar-2 Apr 2027); valley runs open from 28 Nov 2026; Suedtirol Skiarena pass also valid; dead-end valley from Naturno (no pass); base = Maso Corto/Kurzras glacier cable car.",https://www.valsenales.com/fileadmin/user_upload/Preisliste_Winter_2026_27.pdf | https://www.valsenales.com/it/ticket-prezzi-skipass-val-senales | https://www.scimarche.it/val-senales-il-ghiacciaio-riparte-il-19-settembre-primi-allenamenti-della-stagione-2026-27 | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.skiresort.com/en/ski-resort/val-senales-glacier-schnalstaler-gletscher/,medium
Cervinia,Breuil-Cervinia,IT,"Aosta, Valle d'Aosta",Matterhorn Ski Paradise (Zermatt–Cervinia–Valtournenche),Glacier + non-glacier,2026-10-24,confirmed_2026_27,3480,150,64.0,64.0,EUR,published_2026_27,190,2.49,,3.5,4.0,"High open glacier off-piste (Ventina, Cieloalto) but mostly mellow, guide offices present; touring: Breithorn 4164 m from Plateau Rosa, Valtournenche classics, strong guide culture.",https://www.cervinia.it/en/webcam,"2026/27 official tariff (Cervino SpA, dated 04.05.2026): Breuil-Cervinia 24 Oct 2026-2 May 2027, Valtournenche 28 Nov 2026-25 Apr 2027; local adult 1-day EUR 64 flat (no seasonal tiers), international with Zermatt EUR 88; October glacier opening skis Plateau Rosa/Theodul (Swiss side, ID document required); 3480 m = Plateau Rosa/Testa Grigia on local pass (Klein Matterhorn 3883 m needs international pass); Glacier Ride II (Matterhorn Alpine Crossing) closed 7 Jan-26 Feb 2027 for maintenance; coordinates = Breuil-Cervinia village.",https://www.cervinia.it/en/ | https://drive.google.com/file/d/15SPVS6W4LUnCu5o-ofHpiZgkA6B9Siy1/view | https://www.dovesciare.it/news/2025-10-23/cervinia-si-scia-dal-25-ottobre-tutte-le-novita-linverno-20252026 | https://aostasera.it/notizie/turismo/dove-sciare-in-valle-daosta-skipass-impianti-e-piste-2025-2026/ | https://www.skiinfo.it/valle-daosta/cervinia/skipass | https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/ | https://www.cervinia.it/en/webcam,medium
Solda,Sulden,IT,"Bolzano, Trentino-Alto Adige",Sulden am Ortler (Ortler Skiarena),Non-glacier,2026-10-24,confirmed_2026_27,3250,40,63.0,63.0,EUR,published_2026_27,361,4.53,,3.5,4.0,"Steep off-piste in the Madritsch bowls and under the Kanzel with local guides; Ortler group is a classic high-alpine touring hub (Cevedale, Suldenspitze, Vertainspitze, spring Ortler) with strong Ortler Skiarena guide culture.",https://seilbahnensulden.it/en/webcam/,"2026/27 prices published: 1-day adult EUR 63 main season (19 Dec-8 Jan, 30 Jan-12 Mar, 20 Mar-2 Apr 2027), 60 off-season, 53.50 pre/post season (24 Oct-18 Dec 2026, 17 Apr-2 May 2027); official altitude 1900-3250 m, no lift-served glacier piste; 2026/27 start 24 Oct is the published pre-season start, snow-dependent (snowtrex quotes 1 Nov 2026); access only via Val Venosta-Prato allo Stelvio, Passo Stelvio closed in winter. Milan route uses OSRM alternative avoiding closed Stelvio, Umbrail.",https://seilbahnensulden.it/en/lifts-slopes/tickets-prices/ | https://seilbahnensulden.it/en/ | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.skiinfo.de/ortler-skiarena/saisoneroeffnung-skigebiete | https://www.alpinforum.com/forum/viewtopic.php?p=5509734 | https://www.skiresort.com/en/ski-resort/sulden-am-ortler-solda-allortles/,medium
Cortina d'Ampezzo,,IT,"Belluno, Veneto",Dolomiti Superski,Non-glacier,2026-11-21,estimated_from_2025_26,2828,120,80.0,80.0,EUR,estimated_from_2025_26,407,4.63,,3.5,4.0,"Renowned off-piste itineraries (Bus de Tofana, Forcella Rossa, Lagazuoi-Armentarola, Cristallo) with Guide Alpine Cortina and freeride schools; Tofane, Cristallo and Fanes host many documented ski tours; no FWT stop.",https://cortinadampezzo.it/webcam/,"Three unlinked sectors (Tofana-Socrepes, Faloria-Cristallo, Lagazuoi-5 Torri) connected by skibus; the 22 Nov 2025 Col Gallina opening is the announced date, official site framed 4 Dec as gradual start; 2025/26 valley 1-day EUR 72 low / 80 high; official news 1 Sep 2026 gives only 'late Nov-early Dec 2026' (skiresort lists 21 Nov 2026); Passo Giau often closed in winter, use SS51 Alemagna or Falzarego/Valparola; 2026 Olympic venue.",https://www.dolomitireview.com/a-cortina-dampezzo-al-via-la-stagione-sciistica-2025-26-in-attesa-delle-olimpiadi-ecco-cosa-cambia-questo-inverno/ | https://cortinadampezzo.it/news/apertura-impianti-inverno/ | https://cortinadampezzo.it/news/inverno-2026-27-a-cortina-dampezzo/ | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.dolomitireview.com/dolomiti-superski-2025-26-un-avvio-di-stagione-favorito-dal-meteo-e-dagli-investimenti/ | https://www.skiresort.com/en/ski-resort/cortina-dampezzo/,medium
Prato Nevoso – Mondolè Ski,,IT,"Cuneo, Piedmont",Mondolè Ski (Prato Nevoso–Artesina–Frabosa),Non-glacier,2026-11-22,estimated_from_2025_26,2085,105,52.0,52.0,EUR,estimated_from_2025_26,231,2.87,,2.5,2.5,"Family-oriented, low-altitude Ligurian Alps resort with little documented off-piste; local touring limited by snow reliability.",https://pratonevoso.com/webcam/,"Extraordinary early opening Sun 23 Nov 2025 (partial lifts), Caudano-Vallon 6-seater from 24 Nov, all lifts from Thu 27 Nov 2025, Open Season show 6-7 Dec; 2026/27 opening not published (skiinfo 5 Dec 2026 vs skiresort 26 Nov 2026). 2025/26 listino: high season 26 Dec 2025-6 Jan 2026 fixed EUR 52 at ticket office, online dynamic from EUR 39 (Tue-Thu) and promo EUR 27; keycard EUR 2.50; new 8-seat Blu chairlift planned for 2026/27; Prato Nevoso alone about 50 km, top about 2000 m (skiinfo/neveitalia).",https://pratonevoso.com/prato-nevoso-annuncia-lapertura-straordinaria-degli-impianti-sciistici-da-domenica-23-novembre/ | https://pratonevoso.com/prato-nevoso-apertura-totale-degli-impianti-da-giovedi-27-novembre/ | https://pratonevoso.com/listino-e-orari/ | https://www.skiresort.com/en/ski-resort/mondole-ski-artesina-frabosa-soprana-prato-nevoso/ | https://www.skiinfo.it/piemonte/prato-nevoso/stazione-sciistica | https://www.neveitalia.it/ski/pratonevoso | https://pratonevoso.com/webcam/,medium
Folgaria–Lavarone,,IT,"Trento, Trentino-Alto Adige",Alpe Cimbra,Non-glacier,2026-11-27,estimated_from_2025_26,1824,74,60.0,63.0,EUR,published_2026_27,217,2.77,,1.5,2.0,Low-altitude family plateau with fully snowmade groomed pistes and almost no off-piste; ski touring limited to gentle Cimbra plateau routes.,https://www.alpecimbra.it/en/homepage/webcam/9-0.html,"2026/27 price list published: 1-day adult EUR 63 window / 60 online on Saturdays, Sundays, holidays, 19 Dec 2026-6 Jan 2027 and 7-13 Feb 2027; weekdays EUR 57 / 53; Lavarone sector not lift-linked to Folgaria-Fiorentini (skibus); altitude 1177-1824 m; base = Folgaria village (lifts at Francolini/Fondo Grande ~3 km); skiresort lists 2026/27 season from 28 Nov 2026 (unverified); no pass on Milan route (A4/A22 Rovereto).",https://www.alpecimbra.it/files/content/99531_12053_2_0/official-skipass-pricelist-skiarea-alpe-cimbra-folgaria-lavarone-25.26.pdf | https://www.alpecimbra.it/en/alpe-cimbra-ski-area/alpe-cimbra-ski-area/skipass-skiarea-alpe-cimbra/126-687.html | https://www.neveitalia.it/ski/folgarialavarone/skipass | https://www.skiresort.com/en/ski-resort/folgaria-fiorentini/,medium
Madesimo,,IT,"Sondrio, Lombardy",Valchiavenna (Madesimo–Campodolcino),Non-glacier,2026-11-27,confirmed_2026_27,2948,40,59.0,59.0,EUR,published_2026_27,139,2.52,,3.5,3.5,Canalone and Pizzo Groppera north-face off-piste are well known regionally; touring in the Val di Lei/Spluga area and Pizzo Stella.,https://www.skiareavalchiavenna.it/en/webcam-en-2/,"2026/27 official: high EUR 59 (5-8 Dec, 25 Dec-6 Jan, 30 Jan-14 Mar), low EUR 56 (7-29 Jan, 15 Mar-4 Apr), pre-season EUR 41; Spluga/Splugen pass closed in winter, access from Milan via Chiavenna SS36; coordinates = Madesimo gondola base station (Larici).",https://www.skiareavalchiavenna.it/en/prices/ | https://www.skiareavalchiavenna.it/apertura-della-stagione-invernale-2025-2026/ | https://www.calendariovaltellinese.com/blog/aperture-impianti-sciistici-in-provincia-di-sondrio-per-la-stagione-2025-2026 | https://www.skiresort.com/en/ski-resort/valchiavenna-madesimo-campodolcino/ | https://www.skiareavalchiavenna.it/en/webcam-en-2/,medium
Val di Fiemme–Obereggen,,IT,"Trento, Trentino-Alto Adige / Bolzano",Dolomiti Superski,Non-glacier,2026-11-27,confirmed_2026_27,2388,110,71.0,71.0,EUR,estimated_from_2025_26,280,3.39,,2.5,3.5,"Piste-focused family sectors (Cermis, Latemar) with only modest off-piste at Pampeago/Cermis; Lagorai and Latemar have many documented ski tours and an active local touring scene but no high-alpine classics.",https://www.visitfiemme.it/en/area/webcam,"Valley pass covers Alpe Cermis (Cavalese, base used here), Latemar Dolomites (Obereggen-Pampeago-Predazzo, top ~2388 m), Bellamonte-Alpe Lusia, Passo Rolle and Oclini; sectors linked only by skibus except Latemar; 2026/27: first lifts Obereggen 27 Nov 2026, Fiemme link 28 Nov, season to 4 Apr 2027; night skiing Obereggen Tue/Fri; 2025/26 valley 1-day EUR 64 low / 71 high; alternative base Obereggen 46.38500, 11.52597.",https://obereggen.com/en | https://www.visitfiemme.it/en/activities/skiing | https://www.sciaremag.it/turismo/val-di-fiemme-obereggen-tante-novita-per-la-stagione-invernale-2025-26/ | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.skiresort.com/en/ski-resort/latemar-obereggen-pampeago-predazzo/,medium
3 Zinnen Dolomites,Tre Cime Dolomiti,IT,"Bolzano, Trentino-Alto Adige",Dolomiti Superski,Non-glacier,2026-11-28,estimated_from_2025_26,2225,115,80.0,80.0,EUR,estimated_from_2025_26,381,4.64,,3.0,3.5,"Rotwand/Croda Rossa and Stiergarten offer moderate off-piste; Sexten Dolomites, Kreuzbergpass and Comelico provide many documented ski tours but a small guiding scene.",https://www.dreizinnen.com/en/webcams,"Linked Helm-Stiergarten-Rotwand-Kreuzbergpass area is 86 km (skiresort), pass adds Haunold, Rienz, Prags and Padola sectors; base = Versciaco/Vierschach Helm gondola next to rail station (Sesto 46.67197, 12.38705 alternative); 2025/26 valley 1-day EUR 72 low / 80 high; skiresort lists 2026/27 season 27 Nov 2026-11 Apr 2027 (unverified); 2026/27 season pass published; via Val Pusteria SS49 (no pass).",https://www.dolomitisuperski.com/en/areas/tre-cime-dolomiti | https://www.dreizinnen.com/en/skiing/skiing/ski-resort | https://www.dreizinnen.com/en/skiing/tickets-prices/tickets-preise | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.skiresort.com/en/ski-resort/3-zinnen-dolomites-helm-stiergarten-rotwand-kreuzbergpass/,medium
Alagna Valsesia,,IT,"Vercelli, Piedmont",Monterosa Ski,Glacier + non-glacier,2026-11-28,confirmed_2026_27,3275,132,71.0,71.0,EUR,published_2026_27,149,2.17,,4.5,4.0,"Monterosa Freeride Paradise: Indren, Malfatta, Balma and Olen itineraries with strong guide scene and FWQ history; touring to Monte Rosa huts (Gnifetti, Piramide Vincent) and Val Vogna/Turlo.",https://monterosaski.eu/en/webcam,"29 Nov 2025 is the Monterosa Ski area opening (Ayas/Gressoney); Alagna sector opening date not separately verified (usually a week later); Indren 3275 m is off-piste only, not glacier pistes; coordinates = lower funivia car park in Alagna; access from Milan via Valsesia SP299, no passes. Dynamic pricing 2026/27: adult 1-day EUR 40-71 depending on date and advance purchase (peak dates at top of range), online EUR 5 cheaper than ticket office; Monterosa Ski 3-valley pass is the only pass sold for the linked area (Antagnod separate).",https://monterosaski.eu/en/schedules-monterosa-ski-area-19384 | https://monterosaski.eu/en/tariffazione-dinamica-monterosa-ski-19318 | https://monterosaski.eu/en/ | https://aostasera.it/notizie/turismo/dove-sciare-in-valle-daosta-skipass-impianti-e-piste-2025-2026/ | https://www.skiresort.com/en/ski-resort/alagna-valsesia-gressoney-la-trinite-champoluc-frachey-monterosa-ski/ | https://monterosaski.eu/en/webcam,medium
Alpe Lusia–San Pellegrino,,IT,"Trento, Trentino-Alto Adige / Belluno, Veneto",Dolomiti Superski (Tre Valli),Non-glacier,2026-11-28,estimated_from_2025_26,2513,100,71.0,71.0,EUR,estimated_from_2025_26,304,3.81,,3.0,3.5,"Col Margherita (2513 m) has a marked freeride zone and off-piste towards Fuciade; Costabella, Monzoni, Bocche and Lagorai give good documented day tours but the area is small.",https://www.skiareasanpellegrino.it/info-contatti/webcam/,"Two unlinked sectors: Alpe Lusia (Ronchi/Moena and Bellamonte; base used here) and San Pellegrino-Falcade (pass at 46.36726, 11.80237), joined by free Tre Valli shuttle 20 Dec-15 Mar; Alpe Lusia is also included in the Fiemme-Obereggen valley pass; 2025/26 valley 1-day EUR 64 low / 71 high; fassa.com lists both skiareas 'open 4 Dec 2026-4 Apr 2027' (generic note) and skiresort lists 28 Nov 2026; Passo San Pellegrino road open in winter; the 29 Nov 2025 opening is the announced date, not confirmed post hoc.",https://www.skiareasanpellegrino.it/ | https://www.lavisioblog.it/al-via-la-stagione-invernale-il-29-novembre-2025/ | https://moveo.telepass.com/alpe-lusia-skipass-prezzi-giornaliero-stagionale/ | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.fassa.com/it/piste-e-impianti/skiarea | https://www.skiresort.com/en/ski-resort/passo-san-pellegrino-falcade/,medium
